"","corrupción"
"climático",-0.00347078540597793
"san",-0.0370072330502582
"andrés",-0.00533431027379673
"dejarlo",-0.0210414675296015
"perdido",-0.00474176334902238
"olvido",-0.0112679291397805
"intervencion",-0.0210414675296015
"texto",0.0278085637334044
"integral",-0.0822517937699399
"compañeros",-0.0465011098479585
"rosario",-0.0181624162049693
"paloma",-0.0378833158043588
"valencia",-0.0380717989361139
"iván",-0.0378521929930251
"duque",-0.0320399256026504
"referido",-0.0316932826207961
"temas",-0.0131836773944485
"preocupan",0.00248068728064035
"centro",-0.0193742249206457
"democrático",-0.00335010648558805
"déjenme",-0.0270990204844009
"referencias",-0.0449586299756212
"extraña",-0.029516758460349
"precedente",-0.0293347017389914
"peligroso",0.00440972549226088
"eleve",-0.0210414675296015
"categoría",-0.0340590670088905
"desconoce",-0.0417240070503818
"naciones",-0.0746963868293307
"unidas",0.0144329752562412
"llegado",0.00898987325410617
"caletas",-0.0260068945089442
"escondrijos",-0.0332303394513594
"habló",-0.00406205407849759
"recientemente",-0.0068149185775699
"explicaron",-0.0302086543155954
"diálogo",-0.0341637792851831
"adquirió",-0.0151733128187027
"fusiles",-0.0457480112299683
"organización",-0.0172783746727832
"guerrillero",-0.0295320101569441
"entregaron",-0.0213098398277093
"proyectiles",-0.0210414675296015
"tierra-aire",-0.0293347017389914
"denunciado",0.0126085991238755
"salido",-0.00932474774498875
"delicadeza",-0.0210414675296015
"decretos",-0.0364219678082231
"utilizar",-0.0256026373593344
"dineros",-0.0400864657500949
"ejercicio",-0.055724353555025
"actividad",-0.00565675886033382
"refirieron",-0.0210414675296015
"adición",-0.0491906514911599
"anda",-0.0234293370263198
"diciendo",-0.0405691399628094
"zonas",-0.00831430810671992
"venido",-0.0652619768952663
"reduciéndose",-0.0210414675296015
"pacífico",0.0129824875750438
"presencia",-0.0353470133828997
"epicentro",-0.00708290195703221
"tumaco",-0.00700985414870078
"putumayo",-0.0421643689160519
"catatumbo",-0.00279114233034657
"norte",0.00400467737337196
"departamento",0.0170493698194904
"pasa",-0.0312691980711701
"nudo",-0.00771122539111706
"paramillo",-0.0210414675296015
"produciendo",-0.0351968595392329
"droga",0.0127315415795355
"exporta",-0.0210414675296015
"golfo",-0.0116735950106612
"urabá",-0.0391800519137017
"costa",0.0141289038443161
"cordobesa",-0.028367427346235
"bacrim",-0.033832742928221
"crecimiento",-0.0175295231927449
"ciudades",0.013931379726057
"colombianas",-0.0224529848715095
"jóvenes",0.0163155578622168
"déjeme",-0.0210414675296015
"referir",-0.0379514713543463
"economía",0.0208027235663601
"repetir",-0.0407722742199312
"agregando",-0.0210414675296015
"productiva",-0.0275671105051267
"cayó",0.00539302868195465
"principio",-0.0140561183964348
"business",-0.0364367200566701
"insider",-0.0296369733607094
"reino",-0.0398780238698641
"unido",-0.0462041678194068
"cuarta",-0.016283805297147
"mundo",0.0126469454716054
"industria",-0.0218411194179924
"cifras",-0.00340512759444831
"materia",-0.0242294847380035
"veníamos",-0.0210414675296015
"reduciendo",-0.0313005738105222
"aumentó",-0.0365239124021698
"referencia",-0.0250778454713513
"ocurrió",-0.0579004467085935
"subimos",-0.0210414675296015
"millón",-0.0286143625863642
"quinientos",-0.0413889711009807
"barriles",-0.0210414675296015
"reservas",-0.0340408008273466
"mayo",-0.0506380278578811
"llevábamos",-0.0296369733607094
"explorados",-0.0210414675296015
"pozos",-0.0299248660436887
"explorar",-0.0210414675296015
"gastó",-0.026716256940119
"honorables",-0.0253099353756507
"ingresos",-0.0631695006167475
"origen",-0.0158107811131389
"tenerlos",-0.029516758460349
"derrochó",-0.0294795347610074
"problema",0.0548467963191606
"escasez",0.0702950832529547
"refirió",0.0319721712496622
"mira",-0.00238653272265405
"central",-0.0151891200643266
"recuerdo",-0.030645936777512
"abandonó",-0.00307249365334195
"chocó",0.0416978047592812
"capaz",0.0141683792503592
"sustituir",-0.0358234104753584
"funcionar",-0.00133101346167074
"bogotá",-0.0273032394611049
"santa",0.0145198721998406
"marta",-0.00921298876762927
"problemas",-0.00706231637365957
"graves",0.0388516199781405
"dejamos",-0.0315223482549523
"concesión",-0.0216573097496978
"bucaramanga",0.03124775684603
"hacía",-0.0653598402532938
"alto",-0.0173323709512106
"pamplona",-0.0210414675296015
"encontraran",-0.0210414675296015
"paralizó",-0.0210414675296015
"revive",-0.0210414675296015
"olvidó",-0.030690144656223
"robaron",-0.013770322393357
"presentamos",-0.0395563097525781
"transparencia",0.0611695816592628
"intermediarios",-0.0407833334874655
"compras",-0.0324133365945939
"negocios",0.0288847283093747
"señores",-0.0587751361643929
"exclusivamente",-0.0489578651828291
"reparación",-0.0630943260403051
"víctimas",-0.035927639266615
"ruego",-0.0210414675296015
"llevarle",-0.0260876057409598
"robados",-0.0207280996036172
"xx",-0.0196417843397592
"juegos",-0.02139033486989
"nacionales",-0.00953524406730772
"tolima",-0.00865618841498154
"panorámica",-0.0315619141385055
"ibagué",-0.0116799477984409
"reportó",-0.0556578637860443
"lunes",-0.0036047819713207
"ocupados",-0.0277256046002329
"fines",-0.00853544804620622
"implicadas",0.0128569510840531
"propiedades",0.0107600208605742
"valoradas",-0.0207280996036172
"lujosos",0.00142518149471514
"apartamentos",-0.0389167694493603
"fincas",-0.0207280996036172
"vehículos",-0.0439521026031881
